image,gt_count,pred_count,matched_iou50,rough_recall_iou50,avg_norm_area,small_ratio_area_lt_0.001,top_classes
0000069_02480_d_0000007.jpg,64,36,27,0.421875,0.0016211786498124998,0.453125,pedestrian:40;car:18;people:5
0000072_02834_d_0000003.jpg,73,81,55,0.7534246575342466,0.001708372252178082,0.2876712328767123,pedestrian:58;people:11;motor:2
0000076_02142_d_0000009.jpg,11,16,8,0.7272727272727273,0.00666151872881818,0.36363636363636365,truck:6;pedestrian:3;people:1
0000081_00000_d_0000001.jpg,86,143,49,0.5697674418604651,0.0010047017477790698,0.6511627906976745,pedestrian:65;people:18;bicycle:3
0000086_00000_d_0000001.jpg,37,36,23,0.6216216216216216,0.0021472586388648646,0.24324324324324326,pedestrian:24;people:11;motor:2
0000086_00592_d_0000002.jpg,65,33,27,0.4153846153846154,0.001707295769830769,0.4461538461538462,pedestrian:38;people:25;bicycle:1
0000086_01084_d_0000003.jpg,146,77,45,0.3082191780821918,0.0008097081787534246,0.7123287671232876,pedestrian:112;people:32;bicycle:1
0000086_01443_d_0000004.jpg,107,90,59,0.5514018691588785,0.0009621417712242992,0.7102803738317757,pedestrian:83;people:20;motor:3
0000086_01954_d_0000005.jpg,173,91,58,0.3352601156069364,0.0006133253492312139,0.8092485549132948,pedestrian:124;people:43;motor:5
0000103_00180_d_0000026.jpg,1,1,1,1.0,0.016632140965,0.0,pedestrian:1
0000103_00502_d_0000027.jpg,3,4,2,0.6666666666666666,0.059046574011666665,0.0,pedestrian:2;car:1
0000103_01734_d_0000028.jpg,4,5,2,0.5,0.157323859363,0.0,car:3;pedestrian:1
0000103_02544_d_0000029.jpg,14,6,3,0.21428571428571427,0.010908927397428573,0.0,motor:7;people:3;bicycle:2
0000103_02964_d_0000030.jpg,10,8,4,0.4,0.039490181200999994,0.0,motor:4;pedestrian:1;people:1
0000103_03349_d_0000031.jpg,4,7,3,0.75,0.1056048952675,0.0,car:2;pedestrian:1;truck:1
0000103_03738_d_0000032.jpg,3,4,2,0.6666666666666666,0.058821646929,0.0,pedestrian:2;truck:1
