model,class,images,instances,precision,recall,map50,map50_95,run_dir,log_source
YOLO11n-P2-CoordAttention,pedestrian,520,8844,0.47100,0.39300,0.37500,0.16300,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,people,482,5125,0.49000,0.30100,0.29800,0.10900,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,bicycle,364,1287,0.24100,0.12000,0.07790,0.03120,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,car,515,14064,0.62900,0.79200,0.77600,0.52300,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,van,421,1975,0.47600,0.38000,0.36000,0.25000,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,truck,266,750,0.45800,0.31100,0.28100,0.18100,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,tricycle,337,1045,0.40300,0.23500,0.20100,0.10900,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,awning-tricycle,220,532,0.25900,0.14700,0.09290,0.05770,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,bus,131,251,0.57300,0.44200,0.44600,0.31200,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention,motor,485,4886,0.47200,0.44500,0.39600,0.16700,runs/detect/yolo11n_p2_coordatt_visdrone,runs/logs/yolo11n_p2_coordatt_20260522_010820.stdout.log
YOLO11n-P2-CoordAttention-960,pedestrian,520,8844,0.58000,0.50100,0.51300,0.24300,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,people,482,5125,0.58600,0.37900,0.39300,0.15700,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,bicycle,364,1287,0.33500,0.22100,0.17100,0.07600,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,car,515,14064,0.73600,0.83000,0.83700,0.59000,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,van,421,1975,0.52800,0.46000,0.45500,0.32100,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,truck,266,750,0.53800,0.39500,0.37500,0.24900,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
