model,dataset,input_size,role,status,epochs,final_precision,final_recall,final_map50,final_map50_95,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch,config,run_dir,evidence_summary,paper_ready
YOLO11n-960,UAVDT,960,resolution-matched nano baseline,complete,100,0.85840,0.84102,0.88070,0.58919,0.88444,71,0.59081,84,configs/train/baseline_yolo11n_960_uavdt.yaml,runs/detect/baseline_yolo11n_960_uavdt,100/100 epochs and core artifacts present,yes
YOLO11n-P2-960,UAVDT,960,P2 high-resolution validation,complete,100,0.80931,0.81385,0.81853,0.52682,0.83711,74,0.53905,87,configs/train/yolo11n_p2_960_uavdt.yaml,runs/detect/yolo11n_p2_960_uavdt,100/100 epochs and core artifacts present,yes
YOLOv8n-960,UAVDT,960,external lightweight baseline,complete,100,0.88214,0.84659,0.88922,0.59471,0.88983,94,0.59487,97,configs/train/baseline_yolov8n_960_uavdt.yaml,runs/detect/baseline_yolov8n_960_uavdt,100/100 epochs and core artifacts present,yes
YOLO11s-960,UAVDT,960,larger-capacity reference,complete,100,0.87458,0.87049,0.89482,0.60678,0.89756,85,0.60819,83,configs/train/baseline_yolo11s_960_uavdt.yaml,runs/detect/baseline_yolo11s_960_uavdt,100/100 epochs and core artifacts present,yes
YOLO11n-P2-ScaleGate-960,UAVDT,960,adaptive P2 gate candidate,complete,100,0.77939,0.82089,0.82665,0.53183,0.83056,73,0.53758,72,configs/train/yolo11n_p2_scalegate_960_uavdt.yaml,runs/detect/yolo11n_p2_scalegate_960_uavdt,100/100 epochs and core artifacts present,yes
